"Region","total_households_affected","island cabbage_households_damaged","island cabbage_production_damaged","banana_households_damaged","banana_production_damaged","taro_households_damaged","taro_production_damaged","kumala_households_damaged","kumala_production_damaged","manioc_households_damaged","manioc_production_damaged","yam_households_damaged","yam_production_damaged"
"National",45289.6987223164,15214.2360892572,1422409.82007071,16451.2999082427,2708654.48546684,22223.0615485771,5584221.78372522,7682.04891480456,1578701.48069572,13515.8062266408,2198541.00897306,10157.3522068414,3783872.63396085
"Malampa",10353.2774827892,919.020955755478,124057.507476426,974.731710015892,288295.468113027,1356.94216550932,393779.280513414,394.683381274415,83393.4373085658,726.805998480509,106961.69301574,783.763332002738,248268.647568405
"North West Malekula",1188.86767401795,102.330388720001,9240.35531234737,113.102008585265,30677.4346114412,129.957598929982,35301.1865293876,31.1180129440939,2602.36536286514,77.7950323602349,10888.3993642015,105.821191454114,42472.1035169588
"North East Malekula",1539.62290420528,124.166169502756,11085.4858226078,141.743061022072,46624.9418139062,98.6937759105937,7553.12983943593,18.3288440976817,2436.39684946146,88.3544279580554,8866.42324203418,109.97306458609,25507.105603062
"Central Malekula",1541.65738237234,123.640922066262,9484.35806239523,142.038033495905,34472.4358553769,149.951874725417,23959.2876232246,38.6442117181334,3282.33705278321,101.029947124801,8438.36613647093,117.268738219123,26199.9650311911
"South West Malekula",935.199541294908,83.6418418678219,7939.48834684768,90.2988305659027,14937.3792887416,154.184447910388,34227.4467433408,13.8508313234262,1092.41003812402,60.9866061372565,4698.5179314154,69.2541566171311,14635.9849758973
"South East Malekula",1153.86214879327,110.491673273435,19082.6130203681,111.220647555163,44657.8039687071,190.782983446685,80256.2433336467,63.8373192428044,17829.2009129265,85.6024085115583,12323.1219706181,104.555739836502,34116.1874870611
"South Malekula",1202.44366657817,115.84808052507,11833.0731100699,116.679810333968,21313.0987188536,214.348653607412,43615.9310083259,62.6173727556022,8635.91650514794,105.629685730039,17832.6880903969,89.8268193609777,30695.6106474039
"North Ambrym",1007.7042284521,93.8165316803471,15391.7382693648,96.3784915831914,22272.4916352591,184.583111095403,93690.4141884996,40.3813679924511,26416.1626653179,65.8789689302828,25283.9100474812,73.1988543669808,37495.6975906081
"West Ambrym",385.450635837244,35.8888187732073,3237.74881562848,35.8297911107513,8259.50274009087,61.4477966166263,11751.7732921947,22.5485670581664,2854.81093194163,24.3193969318444,2295.43686492311,13.9305283396002,1490.20388725075
"South East Ambrym",605.948867341972,57.6202286581553,30281.0001182896,57.3998836154855,59110.5705948147,101.799409713452,54956.5911532281,42.5265932352733,8164.75528456749,50.2386697287166,9193.6765603552,37.5688297752026,24212.0240357955
"Paama",792.520433895933,71.5763006884227,6481.64659850681,70.0411521481885,5969.80888583598,71.1925135533642,8467.27680213014,60.8302609067828,10079.0817054305,66.9708550677199,7141.15280784372,62.3654094470171,11443.7647931763
"Shefa",24030.8306358174,9532.97809547528,953100.864863638,10372.5169846924,1605993.53749972,12360.6989502028,2709073.12476154,4161.89717612113,914957.623647882,8498.95944816811,1392457.16366892,5941.90237017583,1705365.48870878
"Port Vila",8958.28660829032,2424.4809975654,128177.532976692,2729.76647536599,131728.338618872,2537.23222154791,275006.72494415,798.489662238702,83690.921459768,2031.50012333397,190966.54141079,1002.23310206674,103742.222038131
"Vermali",620.505261352837,380.370911643823,28191.1928300106,408.608053556247,133329.962358435,699.284514419431,235069.420743409,118.762096866958,20419.3841075844,180.219405735174,17176.9971389358,401.964020165088,281888.83863951
"Vermaul",467.791975723459,277.759408891626,19116.3632192576,311.480998469523,73796.3907362983,541.320253750453,196469.452348923,146.422691588237,20924.864649932,202.329537467382,30231.7184009056,260.898614102678,93287.4288493196
"Varisu",610.02408994337,400.442852175272,34379.4970687393,400.442852175272,71428.2556165899,733.992504788088,154586.929802262,184.185385096635,17519.8257209637,351.876556602528,41211.5353783705,312.47371302464,50753.5633352218
"South Epi",470.290296930793,314.806566108776,24066.8419267529,314.806566108776,43795.807173844,596.020968151066,129558.837102472,226.507163419729,25074.4158565099,298.490372133626,42367.7671925252,265.857984183326,39953.1248948581
"North Tongoa",327.891570980372,143.370354531821,19866.8325850497,169.676841601879,31048.6880742818,290.686682124149,77630.1236468527,129.55944882004,28932.4164419999,174.280476839139,57577.7146281317,140.082043648063,61738.1281845133
"Tongariki",237.737908455605,89.6673572531184,11203.3578909901,108.66467870505,17014.6165427641,169.456107351233,61203.7854476335,74.4695000915733,17580.2782742744,112.464142995437,34285.6121436948,98.0261786919688,76718.3810246805
"Makimae",232.625876024746,99.72256545867,8720.163917983,114.23914144316,19421.7166235463,170.411978948361,53419.2683394801,87.0994559069397,74865.0129635485,105.402964756949,28907.0593548332,92.1486997276321,65453.5873269277
"Nguna",468.181911066327,223.117941992546,24154.0387672075,244.332434837739,48744.2315224868,245.795503309821,33607.0034272889,61.4488758274552,7796.03931747109,220.923339284423,34697.7147157031,204.829586091517,71401.8416050639
"Emau",197.239389926415,98.9484272797517,7287.37908468752,119.658563222025,28384.3918719939,139.601657092363,30483.0189808109,30.6816828774424,3422.92524601467,109.687016286856,21243.2301822691,102.783637639432,30205.1579902521
"Malorua",1023.64421567205,350.67281287545,51862.3409307679,381.083463314513,126232.565953703,346.871481570567,55478.3119805527,104.53661088428,35502.2779106472,337.36815330836,62874.795867309,291.752177649765,166659.160854778
"North Efate",872.350722672883,438.657155711041,63620.02788818,491.64346560881,118540.707652181,563.739592191021,141441.932488825,147.666765288865,54247.7394344833,401.306150373269,167237.639380947,381.327705657716,166673.289893307
"Mele",887.60272195239,460.864532732842,34961.9003721196,496.784856607607,80108.2965657821,505.595502086324,59561.7965867079,214.844201288693,51444.228681947,439.176790016002,61226.8106019212,320.571947033285,170678.785079184
"Tanvasoko",1904.00050406432,628.572403710072,48804.4144657176,789.044807623345,88621.3395344515,755.751777765817,92613.7463950811,362.228164849872,51212.5730392931,721.792887311139,99626.5514331024,355.569558878367,51922.1560518863
"Ifira",245.525974562536,75.5295150447978,2496.1123705067,94.7972484745937,4848.91975105737,26.9748268017136,1049.77419005966,9.24851204630178,449.456559407522,57.0324909521945,3114.4951150442,18.4970240926036,2918.21070455898
"Pango",486.365911492837,236.633870205524,18371.9181683358,226.521311649732,20587.9603620171,211.015388530852,19240.9892598295,68.7653981793831,4838.06498752717,217.082923664327,22532.1546337344,152.36254890726,28745.8892089102
"Erakor",3298.47690356345,1552.42308874198,147594.520220411,1632.21133124712,269982.303555321,2018.34702337075,379947.547080125,712.183942360688,111474.831015353,1390.87652366984,218510.459925668,843.19426647407,101882.09422123
"Eratap",1825.63717105486,897.903249162605,143854.204362328,874.516001742551,130560.607743075,1176.87970053033,341806.158184983,527.883584623968,225833.210374603,823.565212720306,166252.406743413,479.438572111009,77182.78049804
"Eton",896.651622087837,439.034084390159,136372.225817901,464.237892938483,167818.437243022,631.721265872506,370898.303812091,156.914033865371,79729.1576065537,323.584380717191,92415.9594216236,217.890990030671,63560.8483084065
"Tafea",10905.5906037098,4762.23703802641,345251.447730642,5104.0512135344,814365.479854089,8505.42043286499,2481369.37845027,3125.46835740901,580350.419739272,4290.04077999217,699122.1522884,3431.68650466285,1830238.49768366
"North Erromango",374.158737182642,180.17375431446,16843.5136971886,176.40705561799,41108.8394984155,310.752642458738,90502.406380431,124.928840099574,21471.035765051,164.479176412504,38960.8100471472,173.895923153678,80462.2204452775
"South Erromango",151.382492979637,73.7166922335625,4053.32710907879,73.058507481477,8091.23646574575,144.142460706698,17265.724215949,54.6293344230865,3892.98248399541,69.109398968965,5585.3377737376,73.058507481477,16965.6947540141
"Aniwa",140.043923990882,33.2891294732423,1847.92100131375,66.5782589464845,8850.0922464879,42.472337603792,2876.05351920155,9.1832081305496,271.753088428493,63.1345558975285,4957.98412443983,57.395050815935,9149.02064375925
"North Tanna",1021.95989506718,458.379070581597,50766.1192441815,499.9973468513,100301.350307278,873.983801663775,432873.189854645,268.784700908502,33111.5561405204,415.604731082179,74465.108368746,443.350248595314,579163.89520136
"West Tanna",3601.9013798503,1580.77715763247,103200.201214493,1694.30413522087,246483.105585226,2137.23135838775,305299.897392932,1020.0226925746,142034.833049561,1560.13588898003,215908.426007773,1600.55837342439,883571.479938855
"Middle Bush Tanna",1581.98340313245,709.635948477205,52497.2596798095,758.33063280786,188816.923707631,1496.47078674691,671238.31356143,509.512672630495,169069.596566406,505.355809333975,77269.8122302845,271.977627115113,98157.587278342
"South West Tanna",1424.05385466799,658.700655329405,42257.2827802105,667.184380421045,74521.2312845895,1266.49896010898,493807.392124179,321.775573118597,49449.7583504921,491.45007495138,65924.7532299985,413.278608035562,86138.1965297205
"Whitesands",1782.97527561199,674.33791694476,46199.210177066,769.41428121373,91747.2100363375,1505.96265872954,312119.399999994,620.34393229818,123522.017979279,663.186985332965,111715.362743877,138.506308441221,38345.5158181021
"South Tanna",403.851005201499,196.264039911009,13480.8394226755,195.634988501038,24288.8634139794,382.463257262479,84788.3644004495,47.8079071578099,5028.8698643889,174.876291971989,22755.9251518693,125.810281994237,14284.30253894
"Futuna",87.3229637301334,37.0083036761041,2300.6566554189,41.5823636810159,9400.56991127395,41.5823636810159,4853.08328444969,4.57406000491175,654.023149842355,19.5437109300774,3715.77754158223,7.0690018257727,451.449607855785
"Aneityum",335.957672295088,159.954369452596,11805.1167492057,161.559262791586,20756.0573971246,303.8598055153,65745.553716611,143.905436062704,31843.9933013077,163.164156130575,77862.8550689445,126.786573780152,23549.1349274357
